500,125, 0.24
700,159, 0.24
900,187, 0.24
1100,211, 0.24
1300,232, 0.24
1500,250, 0.24
1700,265, 0.24
2000,285, 0.24
3000,333, 0.24
5000,384, 0.24
10000,434, 0.24
20000,465, 0.24
50000,485, 0.24
